,Unnamed: 0,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
71,71,M1R,Scarborough,"Wexford, Maryvale",43.75004250000006,-79.30053749999995,7.0,Auto Garage,Women's Store,Farm,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farmers Market,Dog Run
72,72,M2R,North York,"Willowdale, Willowdale West",43.77991227600006,-79.44522868999995,1.0,Grocery Store,Coffee Shop,Pizza Place,Home Service,Bank,Park,Baby Store,Butcher,Eastern European Restaurant,Electronics Store
73,73,M4R,Central Toronto,"North Toronto West,  Lawrence Park",43.714138802000036,-79.40645595899997,2.0,Park,Playground,Garden,Gym Pool,Women's Store,Donut Shop,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant
74,74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.67491074000003,-79.40393998899998,1.0,Sandwich Place,Café,Pizza Place,Indian Restaurant,Pharmacy,Cosmetics Shop,Coffee Shop,Pub,Donut Shop,Modern European Restaurant
75,75,M6R,West Toronto,"Parkdale, Roncesvalles",43.64783960100005,-79.44838789999993,1.0,Coffee Shop,Café,Sushi Restaurant,Restaurant,Thai Restaurant,Breakfast Spot,Eastern European Restaurant,Gift Shop,Food & Drink Shop,Bookstore
76,76,M7R,Mississauga,Canada Post Gateway Processing Centre,43.648690000000045,-79.38543999999995,1.0,Coffee Shop,Hotel,Restaurant,Café,Japanese Restaurant,Sandwich Place,Seafood Restaurant,Taco Place,Sushi Restaurant,Bar
77,77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.686887137000035,-79.56550730099997,0.0,Pizza Place,American Restaurant,Sandwich Place,Shopping Mall,Liquor Store,Coffee Shop,Pharmacy,Bank,Fast Food Restaurant,Farmers Market
78,78,M1S,Scarborough,Agincourt,43.79392980200004,-79.26569360999997,1.0,Breakfast Spot,Sushi Restaurant,Badminton Court,Skating Rink,Supermarket,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm
79,79,M4S,Central Toronto,Davisville,43.70332655200007,-79.38564862099996,1.0,Dessert Shop,Pizza Place,Sandwich Place,Café,Coffee Shop,Italian Restaurant,Indian Restaurant,Skating Rink,Seafood Restaurant,Sushi Restaurant
80,80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.66328128200007,-79.39808791199994,1.0,Café,Park,Bookstore,Restaurant,Japanese Restaurant,Italian Restaurant,Yoga Studio,Museum,Bubble Tea Shop,French Restaurant
